"Statistic Label","Sex","Industry","Province County or City","CensusYear","UNIT","VALUE"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Laois","2006","Number","1289"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Laois","2011","Number","1497"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Laois","2016","Number","1711"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Longford","2002","Number","406"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Longford","2006","Number","480"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Longford","2011","Number","558"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Longford","2016","Number","619"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Louth","2002","Number","1810"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Louth","2006","Number","2260"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Louth","2011","Number","2353"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Louth","2016","Number","2698"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Meath","2002","Number","2141"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Meath","2006","Number","2935"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Meath","2011","Number","3462"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Meath","2016","Number","3893"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Offaly","2002","Number","1103"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Offaly","2006","Number","1420"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Offaly","2011","Number","1368"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Offaly","2016","Number","1421"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Westmeath","2002","Number","1400"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Westmeath","2006","Number","1797"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Westmeath","2011","Number","1808"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Westmeath","2016","Number","1980"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Wexford","2002","Number","2726"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Wexford","2006","Number","3554"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Wexford","2011","Number","3546"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Wexford","2016","Number","3924"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Wicklow","2002","Number","2402"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Wicklow","2006","Number","2864"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Wicklow","2011","Number","2981"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Wicklow","2016","Number","3451"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Munster","2002","Number","24871"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Munster","2006","Number","29219"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Munster","2011","Number","29462"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Munster","2016","Number","32613"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Clare","2002","Number","2740"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Clare","2006","Number","3102"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Clare","2011","Number","2962"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Clare","2016","Number","3360"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork","2002","Number","9098"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork","2006","Number","10875"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork","2011","Number","11613"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork","2016","Number","12819"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork City","2002","Number","2613"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork City","2006","Number","3240"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork City","2011","Number","3344"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork City","2016","Number","3842"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork County","2002","Number","6485"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork County","2006","Number","7635"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork County","2011","Number","8269"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Cork County","2016","Number","8977"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kerry","2002","Number","4764"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kerry","2006","Number","5581"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kerry","2011","Number","5483"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kerry","2016","Number","6450"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick","2002","Number","3615"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick","2006","Number","4059"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick","2011","Number","4067"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick","2016","Number","4302"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick City","2002","Number","1367"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick City","2006","Number","1507"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick City","2011","Number","1595"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick City","2016","Number",""
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick County","2002","Number","2248"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick County","2006","Number","2552"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick County","2011","Number","2472"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Limerick County","2016","Number",""
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Tipperary","2002","Number","2436"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Tipperary","2006","Number","2917"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Tipperary","2011","Number","2841"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Tipperary","2016","Number","2921"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","North Tipperary","2002","Number","1008"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","North Tipperary","2006","Number","1286"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","North Tipperary","2011","Number","1240"
